Uthmani,Simple
ٱلْحِجْرِ,الحجر
وَءَاتَيْنَٰهُمْ,وآتيناهم
فَكَانُوا۟,فكانوا
يَنْحِتُونَ,ينحتون
ٱلْجِبَالِ,الجبال
مُصْبِحِينَ,مصبحين
ٱلسَّاعَةَ,الساعة
لَءَاتِيَةٌ,لآتية
فَٱصْفَحِ,فاصفح
ٱلصَّفْحَ,الصفح
ٱلْجَمِيلَ,الجميل
ٱلْخَلَّٰقُ,الخلاق
ءَاتَيْنَٰكَ,آتيناك
سَبْعًا,سبعا
ٱلْمَثَانِى,المثاني
وَٱلْقُرْءَانَ,والقرآن
ٱلْعَظِيمَ,العظيم
تَمُدَّنَّ,تمدن
عَيْنَيْكَ,عينيك
مَتَّعْنَا,متعنا
وَٱخْفِضْ,واخفض
جَنَاحَكَ,جناحك
وَقُلْ,وقل
ٱلنَّذِيرُ,النذير
ٱلْمُقْتَسِمِينَ,المقتسمين
عِضِينَ,عضين
فَوَرَبِّكَ,فوربك
لَنَسْـَٔلَنَّهُمْ,لنسألنهم
فَٱصْدَعْ,فاصدع
تُؤْمَرُ,تؤمر
كَفَيْنَٰكَ,كفيناك
ٱلْمُسْتَهْزِءِينَ,المستهزئين
ءَاخَرَ,آخر
أَنَّكَ,أنك
يَضِيقُ,يضيق
فَسَبِّحْ,فسبح
بِحَمْدِ,بحمد
وَٱعْبُدْ,واعبد
يَأْتِيَكَ,يأتيك
ٱلْيَقِينُ,اليقين
أَتَىٰٓ,أتى
تَسْتَعْجِلُوهُ,تستعجلوه
يُنَزِّلُ,ينزل
بِٱلرُّوحِ,بالروح
عِبَادِهِۦٓ,عباده
أَنذِرُوٓا۟,أنذروا
تَعَٰلَىٰ,تعالى
نُّطْفَةٍ,نطفة
خَصِيمٌ,خصيم
وَٱلْأَنْعَٰمَ,والأنعام
خَلَقَهَا,خلقها
دِفْءٌ,دفء
جَمَالٌ,جمال
تُرِيحُونَ,تريحون
تَسْرَحُونَ,تسرحون
وَتَحْمِلُ,وتحمل
أَثْقَالَكُمْ,أثقالكم
بَلَدٍ,بلد
بَٰلِغِيهِ,بالغيه
بِشِقِّ,بشق
ٱلْأَنفُسِ,الأنفس
وَٱلْخَيْلَ,والخيل
وَٱلْبِغَالَ,والبغال
وَٱلْحَمِيرَ,والحمير
لِتَرْكَبُوهَا,لتركبوها
وَزِينَةً,وزينة
وَيَخْلُقُ,ويخلق
قَصْدُ,قصد
جَآئِرٌ,جائر
وَمِنْهُ,ومنه
شَجَرٌ,شجر
تُسِيمُونَ,تسيمون
يُنۢبِتُ,ينبت
ٱلزَّرْعَ,الزرع
وَٱلنَّخِيلَ,والنخيل
وَٱلْأَعْنَٰبَ,والأعناب
وَٱلنُّجُومُ,والنجوم
مُسَخَّرَٰتٌۢ,مسخرات
أَلْوَٰنُهُۥٓ,ألوانه
سَخَّرَ,سخر
طَرِيًّا,طريا
وَتَسْتَخْرِجُوا۟,وتستخرجوا
حِلْيَةً,حلية
تَلْبَسُونَهَا,تلبسونها
مَوَاخِرَ,مواخر
وَلِتَبْتَغُوا۟,ولتبتغوا
وَأَلْقَىٰ,وألقى
تَمِيدَ,تميد
وَسُبُلًا,وسبلا
وَعَلَٰمَٰتٍ,وعلامات
وَبِٱلنَّجْمِ,وبالنجم
تُسِرُّونَ,تسرون
تُعْلِنُونَ,تعلنون
يَخْلُقُونَ,يخلقون
أَمْوَٰتٌ,أموات
أَحْيَآءٍ,أحياء
إِلَٰهُكُمْ,إلهكم
مُّنكِرَةٌ,منكرة
مُّسْتَكْبِرُونَ,مستكبرون
ٱلْمُسْتَكْبِرِينَ,المستكبرين
مَّاذَآ,ماذا
لِيَحْمِلُوٓا۟,ليحملوا
كَامِلَةً,كاملة
أَوْزَارِ,أوزار
يُضِلُّونَهُم,يضلونهم
فَأَتَى,فأتى
بُنْيَٰنَهُم,بنيانهم
ٱلْقَوَاعِدِ,القواعد
فَخَرَّ,فخر
ٱلسَّقْفُ,السقف
وَأَتَىٰهُمُ,وأتاهم
يُخْزِيهِمْ,يخزيهم
شُرَكَآءِىَ,شركائي
تُشَٰٓقُّونَ,تشاقون
ٱلْعِلْمَ,العلم
ٱلْخِزْىَ,الخزي
وَٱلسُّوٓءَ,والسوء
تَتَوَفَّىٰهُمُ,تتوفاهم
فَأَلْقَوُا۟,فألقوا
سُوٓءٍۭ,سوء
فَٱدْخُلُوٓا۟,فادخلوا
فَلَبِئْسَ,فلبئس
ٱلْمُتَكَبِّرِينَ,المتكبرين
وَلَنِعْمَ,ولنعم
يَشَآءُونَ,يشاءون
طَيِّبِينَ,طيبين
فَأَصَابَهُمْ,فأصابهم
سَيِّـَٔاتُ,سيئات
عَبَدْنَا,عبدنا
رَّسُولًا,رسولا
وَٱجْتَنِبُوا۟,واجتنبوا
تَحْرِصْ,تحرص
يَبْعَثُ,يبعث
يَمُوتُ,يموت
قَوْلُنَا,قولنا
لِشَىْءٍ,لشيء
أَرَدْنَٰهُ,أردناه
نَّقُولَ,نقول
ظُلِمُوا۟,ظلموا
لَنُبَوِّئَنَّهُمْ,لنبوئنهم
فَسْـَٔلُوٓا۟,فاسألوا
ٱلذِّكْرِ,الذكر
لِتُبَيِّنَ,لتبين
يَخْسِفَ,يخسف
يَأْخُذَهُمْ,يأخذهم
تَقَلُّبِهِمْ,تقلبهم
تَخَوُّفٍ,تخوف
يَتَفَيَّؤُا۟,يتفيأ
ظِلَٰلُهُۥ,ظلاله
ٱلْيَمِينِ,اليمين
وَٱلشَّمَآئِلِ,والشمائل
دَٰخِرُونَ,داخرون
وَيَفْعَلُونَ,ويفعلون
يُؤْمَرُونَ,يؤمرون
فَإِيَّٰىَ,فإياي
وَاصِبًا,واصبا
نِّعْمَةٍ,نعمة
مَسَّكُمُ,مسكم
فَإِلَيْهِ,فإليه
تَجْـَٔرُونَ,تجأرون
كَشَفَ,كشف
ٱلضُّرَّ,الضر
لِيَكْفُرُوا۟,ليكفروا
ءَاتَيْنَٰهُمْ,آتيناهم
فَتَمَتَّعُوا۟,فتمتعوا
وَيَجْعَلُونَ,ويجعلون
لَتُسْـَٔلُنَّ,لتسألن
ٱلْبَنَٰتِ,البنات
وَلَهُم,ولهم
يَشْتَهُونَ,يشتهون
بُشِّرَ,بشر
أَحَدُهُم,أحدهم
ظَلَّ,ظل
وَجْهُهُۥ,وجهه
مُسْوَدًّا,مسودا
يَتَوَٰرَىٰ,يتوارى
سُوٓءِ,سوء
أَيُمْسِكُهُۥ,أيمسكه
هُونٍ,هون
يَدُسُّهُۥ,يدسه
ٱلتُّرَابِ,التراب
ٱلْمَثَلُ,المثل
ٱلْأَعْلَىٰ,الأعلى
يُؤَاخِذُ,يؤاخذ
بِظُلْمِهِم,بظلمهم
يَكْرَهُونَ,يكرهون
وَتَصِفُ,وتصف
أَلْسِنَتُهُمُ,ألسنتهم
وَأَنَّهُم,وأنهم
مُّفْرَطُونَ,مفرطون
فَزَيَّنَ,فزين
وَلِيُّهُمُ,وليهم
مَوْتِهَآ,موتها
نُّسْقِيكُم,نسقيكم
بُطُونِهِۦ,بطونه
فَرْثٍ,فرث
وَدَمٍ,ودم
لَّبَنًا,لبنا
خَالِصًا,خالصا
سَآئِغًا,سائغا
لِّلشَّٰرِبِينَ,للشاربين
ثَمَرَٰتِ,ثمرات
ٱلنَّخِيلِ,النخيل
وَٱلْأَعْنَٰبِ,والأعناب
سَكَرًا,سكرا
وَرِزْقًا,ورزقا
وَأَوْحَىٰ,وأوحى
ٱلنَّحْلِ,النحل
ٱتَّخِذِى,اتخذي
ٱلشَّجَرِ,الشجر
كُلِى,كلي
فَٱسْلُكِى,فاسلكي
رَبِّكِ,ربك
ذُلُلًا,ذللا
بُطُونِهَا,بطونها
مُّخْتَلِفٌ,مختلف
أَلْوَٰنُهُۥ,ألوانه
شِفَآءٌ,شفاء
أَرْذَلِ,أرذل
ٱلْعُمُرِ,العمر
لِكَىْ,لكي
يَعْلَمَ,يعلم
فُضِّلُوا۟,فضلوا
بِرَآدِّى,برادي
رِزْقِهِمْ,رزقهم
أَيْمَٰنُهُمْ,أيمانهم
أَفَبِنِعْمَةِ,أفبنعمة
أَزْوَٰجِكُم,أزواجكم
وَحَفَدَةً,وحفدة
أَفَبِٱلْبَٰطِلِ,أفبالباطل
وَبِنِعْمَتِ,وبنعمت
تَضْرِبُوا۟,تضربوا
مَّمْلُوكًا,مملوكا
يَقْدِرُ,يقدر
رَّزَقْنَٰهُ,رزقناه
وَجَهْرًا,وجهرا
وَضَرَبَ,وضرب
رَّجُلَيْنِ,رجلين
أَبْكَمُ,أبكم
كَلٌّ,كل
مَوْلَىٰهُ,مولاه
يُوَجِّههُّ,يوجهه
كَلَمْحِ,كلمح
ٱلْبَصَرِ,البصر
أَخْرَجَكُم,أخرجكم
أُمَّهَٰتِكُمْ,أمهاتكم
وَٱلْأَفْـِٔدَةَ,والأفئدة
مُسَخَّرَٰتٍ,مسخرات
جَوِّ,جو
يُمْسِكُهُنَّ,يمسكهن
جُلُودِ,جلود
تَسْتَخِفُّونَهَا,تستخفونها
ظَعْنِكُمْ,ظعنكم
إِقَامَتِكُمْ,إقامتكم
أَصْوَافِهَا,أصوافها
وَأَوْبَارِهَا,وأوبارها
وَأَشْعَارِهَآ,وأشعارها
أَثَٰثًا,أثاثا
وَمَتَٰعًا,ومتاعا
ظِلَٰلًا,ظلالا
أَكْنَٰنًا,أكنانا
سَرَٰبِيلَ,سرابيل
تَقِيكُمُ,تقيكم
ٱلْحَرَّ,الحر
وَسَرَٰبِيلَ,وسرابيل
تَقِيكُم,تقيكم
بَأْسَكُمْ,بأسكم
يُتِمُّ,يتم
تُسْلِمُونَ,تسلمون
يُنكِرُونَهَا,ينكرونها
نَبْعَثُ,نبعث
يُؤْذَنُ,يؤذن
يُسْتَعْتَبُونَ,يستعتبون
شُرَكَآءَهُمْ,شركاءهم
شُرَكَآؤُنَا,شركاؤنا
نَدْعُوا۟,ندعو
دُونِكَ,دونك
فَأَلْقَوْا۟,فألقوا
زِدْنَٰهُمْ,زدناهم
يُفْسِدُونَ,يفسدون
وَنَزَّلْنَا,ونزلنا
تِبْيَٰنًا,تبيانا
لِلْمُسْلِمِينَ,للمسلمين
وَٱلْإِحْسَٰنِ,والإحسان
وَإِيتَآئِ,وإيتاء
وَيَنْهَىٰ,وينهى
ٱلْفَحْشَآءِ,الفحشاء
وَٱلْمُنكَرِ,والمنكر
وَٱلْبَغْىِ,والبغي
يَعِظُكُمْ,يعظكم
تَنقُضُوا۟,تنقضوا
تَوْكِيدِهَا,توكيدها
جَعَلْتُمُ,جعلتم
كَفِيلًا,كفيلا
تَفْعَلُونَ,تفعلون
كَٱلَّتِى,كالتي
نَقَضَتْ,نقضت
غَزْلَهَا,غزلها
أَنكَٰثًا,أنكاثا
دَخَلًۢا,دخلا
أَرْبَىٰ,أربى
يَبْلُوكُمُ,يبلوكم
وَلَيُبَيِّنَنَّ,وليبينن
وَلَتُسْـَٔلُنَّ,ولتسألن
فَتَزِلَّ,فتزل
قَدَمٌۢ,قدم
ثُبُوتِهَا,ثبوتها
وَتَذُوقُوا۟,وتذوقوا
صَدَدتُّمْ,صددتم
عِندَكُمْ,عندكم
يَنفَدُ,ينفد
بَاقٍ,باق
وَلَنَجْزِيَنَّ,ولنجزين
صَبَرُوٓا۟,صبروا
أَجْرَهُم,أجرهم
بِأَحْسَنِ,بأحسن
فَلَنُحْيِيَنَّهُۥ,فلنحيينه
حَيَوٰةً,حياة
وَلَنَجْزِيَنَّهُمْ,ولنجزينهم
قَرَأْتَ,قرأت
سُلْطَٰنُهُۥ,سلطانه
يَتَوَلَّوْنَهُۥ,يتولونه
مُشْرِكُونَ,مشركون
بَدَّلْنَآ,بدلنا
مُفْتَرٍۭ,مفتر
رُوحُ,روح
لِيُثَبِّتَ,ليثبت
يُعَلِّمُهُۥ,يعلمه
لِّسَانُ,لسان
أَعْجَمِىٌّ,أعجمي
لِسَانٌ,لسان
عَرَبِىٌّ,عربي
يَهْدِيهِمُ,يهديهم
يَفْتَرِى,يفتري
ٱلْكَٰذِبُونَ,الكاذبون
إِيمَٰنِهِۦٓ,إيمانه
أُكْرِهَ,أكره
وَقَلْبُهُۥ,وقلبه
مُطْمَئِنٌّۢ,مطمئن
شَرَحَ,شرح
صَدْرًا,صدرا
فَعَلَيْهِمْ,فعليهم
بِأَنَّهُمُ,بأنهم
وَسَمْعِهِمْ,وسمعهم
فُتِنُوا۟,فتنوا
وَصَبَرُوٓا۟,وصبروا
تَأْتِى,تأتي
تُجَٰدِلُ,تجادل
نَّفْسِهَا,نفسها
وَتُوَفَّىٰ,وتوفى
قَرْيَةً,قرية
ءَامِنَةً,آمنة
مُّطْمَئِنَّةً,مطمئنة
يَأْتِيهَا,يأتيها
فَكَفَرَتْ,فكفرت
بِأَنْعُمِ,بأنعم
فَأَذَٰقَهَا,فأذاقها
لِبَاسَ,لباس
ٱلْجُوعِ,الجوع
وَٱلْخَوْفِ,والخوف
تَصِفُ,تصف
أَلْسِنَتُكُمُ,ألسنتكم
حَلَٰلٌ,حلال
حَرَامٌ,حرام
لِّتَفْتَرُوا۟,لتفتروا
قَصَصْنَا,قصصنا
وَأَصْلَحُوٓا۟,وأصلحوا
قَانِتًا,قانتا
لِّأَنْعُمِهِ,لأنعمه
ٱجْتَبَىٰهُ,اجتباه
وَهَدَىٰهُ,وهداه
جُعِلَ,جعل
ٱلسَّبْتُ,السبت
لَيَحْكُمُ,ليحكم
بِٱلْحِكْمَةِ,بالحكمة
وَٱلْمَوْعِظَةِ,والموعظة
وَجَٰدِلْهُم,وجادلهم
بِمَن,بمن
عَاقَبْتُمْ,عاقبتم
فَعَاقِبُوا۟,فعاقبوا
عُوقِبْتُم,عوقبتم
لِّلصَّٰبِرِينَ,للصابرين
صَبْرُكَ,صبرك
ضَيْقٍ,ضيق
وَّٱلَّذِينَ,والذين
مُّحْسِنُونَ,محسنون
سُبْحَٰنَ,سبحان
بِعَبْدِهِۦ,بعبده
ٱلْأَقْصَا,الأقصى
لِنُرِيَهُۥ,لنريه
ءَايَٰتِنَآ,آياتنا
ٱلْبَصِيرُ,البصير
وَجَعَلْنَٰهُ,وجعلناه
دُونِى,دوني
ذُرِّيَّةَ,ذرية
حَمَلْنَا,حملنا
شَكُورًا,شكورا
لَتُفْسِدُنَّ,لتفسدن
وَلَتَعْلُنَّ,ولتعلن
عُلُوًّا,علوا
أُولَىٰهُمَا,أولاهما
بَأْسٍ,بأس
فَجَاسُوا۟,فجاسوا
خِلَٰلَ,خلال
ٱلدِّيَارِ,الديار
مَّفْعُولًا,مفعولا
رَدَدْنَا,رددنا
ٱلْكَرَّةَ,الكرة
وَأَمْدَدْنَٰكُم,وأمددناكم
بِأَمْوَٰلٍ,بأموال
وَبَنِينَ,وبنين
وَجَعَلْنَٰكُمْ,وجعلناكم
نَفِيرًا,نفيرا
أَحْسَنتُمْ,أحسنتم
أَسَأْتُمْ,أسأتم
لِيَسُۥٓـُٔوا۟,ليسوءوا
وَلِيَدْخُلُوا۟,وليدخلوا
دَخَلُوهُ,دخلوه
وَلِيُتَبِّرُوا۟,وليتبروا
عَلَوْا۟,علوا
تَتْبِيرًا,تتبيرا
يَرْحَمَكُمْ,يرحمكم
عُدتُّمْ,عدتم
حَصِيرًا,حصيرا
لِلَّتِى,للتي
أَقْوَمُ,أقوم
وَيُبَشِّرُ,ويبشر
وَيَدْعُ,ويدع
بِٱلشَّرِّ,بالشر
دُعَآءَهُۥ,دعاءه
عَجُولًا,عجولا
ءَايَتَيْنِ,آيتين
فَمَحَوْنَآ,فمحونا
وَجَعَلْنَآ,وجعلنا
مُبْصِرَةً,مبصرة
لِّتَبْتَغُوا۟,لتبتغوا
وَلِتَعْلَمُوا۟,ولتعلموا
وَكُلَّ,وكل
تَفْصِيلًا,تفصيلا
إِنسَٰنٍ,إنسان
أَلْزَمْنَٰهُ,ألزمناه
طَٰٓئِرَهُۥ,طائره
عُنُقِهِۦ,عنقه
وَنُخْرِجُ,ونخرج
يَلْقَىٰهُ,يلقاه
مَنشُورًا,منشورا
ٱقْرَأْ,اقرأ
كِتَٰبَكَ,كتابك
بِنَفْسِكَ,بنفسك
مَّنِ,من
مُعَذِّبِينَ,معذبين
نَبْعَثَ,نبعث
نُّهْلِكَ,نهلك
أَمَرْنَا,أمرنا
مُتْرَفِيهَا,مترفيها
فَفَسَقُوا۟,ففسقوا
فَحَقَّ,فحق
فَدَمَّرْنَٰهَا,فدمرناها
تَدْمِيرًا,تدميرا
وَكَمْ,وكم
بِرَبِّكَ,بربك
بِذُنُوبِ,بذنوب
خَبِيرًۢا,خبيرا
ٱلْعَاجِلَةَ,العاجلة
عَجَّلْنَا,عجلنا
نُّرِيدُ,نريد
يَصْلَىٰهَا,يصلاها
مَذْمُومًا,مذموما
سَعْيَهَا,سعيها
سَعْيُهُم,سعيهم
مَّشْكُورًا,مشكورا
نُّمِدُّ,نمد
وَهَٰٓؤُلَآءِ,وهؤلاء
عَطَآءِ,عطاء
عَطَآءُ,عطاء
مَحْظُورًا,محظورا
وَلَلْءَاخِرَةُ,وللآخرة
وَأَكْبَرُ,وأكبر
تَفْضِيلًا,تفضيلا
تَجْعَلْ,تجعل
فَتَقْعُدَ,فتقعد
مَّخْذُولًا,مخذولا
وَقَضَىٰ,وقضى
يَبْلُغَنَّ,يبلغن
ٱلْكِبَرَ,الكبر
كِلَاهُمَا,كلاهما
تَقُل,تقل
لَّهُمَآ,لهما
أُفٍّ,أف
تَنْهَرْهُمَا,تنهرهما
لَّهُمَا,لهما
جَنَاحَ,جناح
ٱلذُّلِّ,الذل
ٱرْحَمْهُمَا,ارحمهما
رَبَّيَانِى,ربياني
نُفُوسِكُمْ,نفوسكم
لِلْأَوَّٰبِينَ,للأوابين
وَءَاتِ,وآت
وَٱلْمِسْكِينَ,والمسكين
تُبَذِّرْ,تبذر
تَبْذِيرًا,تبذيرا
ٱلْمُبَذِّرِينَ,المبذرين
إِخْوَٰنَ,إخوان
ٱلشَّيَٰطِينِ,الشياطين
لِرَبِّهِۦ,لربه
كَفُورًا,كفورا
تُعْرِضَنَّ,تعرضن
تَرْجُوهَا,ترجوها
مَّيْسُورًا,ميسورا
مَغْلُولَةً,مغلولة
عُنُقِكَ,عنقك
تَبْسُطْهَا,تبسطها
ٱلْبَسْطِ,البسط
مَلُومًا,ملوما
مَّحْسُورًا,محسورا
بِعِبَادِهِۦ,بعباده
خَشْيَةَ,خشية
نَرْزُقُهُمْ,نرزقهم
قَتْلَهُمْ,قتلهم
خِطْـًٔا,خطئا
ٱلزِّنَىٰٓ,الزنا
مَظْلُومًا,مظلوما
لِوَلِيِّهِۦ,لوليه
يُسْرِف,يسرف
فِّى,في
مَنصُورًا,منصورا
بِٱلْعَهْدِ,بالعهد
ٱلْعَهْدَ,العهد
مَسْـُٔولًا,مسئولا
كِلْتُمْ,كلتم
وَزِنُوا۟,وزنوا
بِٱلْقِسْطَاسِ,بالقسطاس
ٱلْمُسْتَقِيمِ,المستقيم
تَقْفُ,تقف
وَٱلْبَصَرَ,والبصر
وَٱلْفُؤَادَ,والفؤاد
تَمْشِ,تمش
مَرَحًا,مرحا
تَخْرِقَ,تخرق
تَبْلُغَ,تبلغ
طُولًا,طولا
سَيِّئُهُۥ,سيئه
مَكْرُوهًا,مكروها
أَوْحَىٰٓ,أوحى
ٱلْحِكْمَةِ,الحكمة
فَتُلْقَىٰ,فتلقى
أَفَأَصْفَىٰكُمْ,أفأصفاكم
بِٱلْبَنِينَ,بالبنين
لَتَقُولُونَ,لتقولون
صَرَّفْنَا,صرفنا
ٱلْقُرْءَانِ,القرآن
لِيَذَّكَّرُوا۟,ليذكروا
يَزِيدُهُمْ,يزيدهم
نُفُورًا,نفورا
لَّٱبْتَغَوْا۟,لابتغوا
تُسَبِّحُ,تسبح
ٱلسَّبْعُ,السبع
يُسَبِّحُ,يسبح
تَفْقَهُونَ,تفقهون
تَسْبِيحَهُمْ,تسبيحهم
حَلِيمًا,حليما
بَيْنَكَ,بينك
حِجَابًا,حجابا
مَّسْتُورًا,مستورا
ذَكَرْتَ,ذكرت
وَلَّوْا۟,ولوا
أَدْبَٰرِهِمْ,أدبارهم
نَجْوَىٰٓ,نجوى
مَّسْحُورًا,مسحورا
فَضَلُّوا۟,فضلوا
عِظَٰمًا,عظاما
وَرُفَٰتًا,ورفاتا
لَمَبْعُوثُونَ,لمبعوثون
خَلْقًا,خلقا
جَدِيدًا,جديدا
حَدِيدًا,حديدا
يَكْبُرُ,يكبر
يُعِيدُنَا,يعيدنا
فَطَرَكُمْ,فطركم
فَسَيُنْغِضُونَ,فسينغضون
رُءُوسَهُمْ,رءوسهم
فَتَسْتَجِيبُونَ,فتستجيبون
وَتَظُنُّونَ,وتظنون
لَّبِثْتُمْ,لبثتم
لِّعِبَادِى,لعبادي
يَنزَغُ,ينزغ
يَرْحَمْكُمْ,يرحمكم
زَعَمْتُم,زعمتم
كَشْفَ,كشف
ٱلضُّرِّ,الضر
تَحْوِيلًا,تحويلا
رَبِّهِمُ,ربهم
وَيَرْجُونَ,ويرجون
رَحْمَتَهُۥ,رحمته
عَذَابَهُۥٓ,عذابه
مَحْذُورًا,محذورا
مُهْلِكُوهَا,مهلكوها
مُعَذِّبُوهَا,معذبوها
مَسْطُورًا,مسطورا
مَنَعَنَآ,منعنا
نُّرْسِلَ,نرسل
بِٱلْءَايَٰتِ,بالآيات
تَخْوِيفًا,تخويفا
أَحَاطَ,أحاط
ٱلرُّءْيَا,الرؤيا
أَرَيْنَٰكَ,أريناك
وَٱلشَّجَرَةَ,والشجرة
ٱلْمَلْعُونَةَ,الملعونة
وَنُخَوِّفُهُمْ,ونخوفهم
ءَأَسْجُدُ,أأسجد
طِينًا,طينا
أَرَءَيْتَكَ,أرأيتك
كَرَّمْتَ,كرمت
أَخَّرْتَنِ,أخرتن
لَأَحْتَنِكَنَّ,لأحتنكن
ذُرِّيَّتَهُۥٓ,ذريته
ٱذْهَبْ,اذهب
جَزَآؤُكُمْ,جزاؤكم
جَزَآءً,جزاء
مَّوْفُورًا,موفورا
وَٱسْتَفْزِزْ,واستفزز
بِصَوْتِكَ,بصوتك
وَأَجْلِبْ,وأجلب
بِخَيْلِكَ,بخيلك
وَرَجِلِكَ,ورجلك
وَشَارِكْهُمْ,وشاركهم
وَٱلْأَوْلَٰدِ,والأولاد
وَعِدْهُمْ,وعدهم
رَّبُّكُمُ,ربكم
يُزْجِى,يزجي
لِتَبْتَغُوا۟,لتبتغوا
نَجَّىٰكُمْ,نجاكم
أَعْرَضْتُمْ,أعرضتم
أَفَأَمِنتُمْ,أفأمنتم
جَانِبَ,جانب
يُرْسِلَ,يرسل
حَاصِبًا,حاصبا
يُعِيدَكُمْ,يعيدكم
تَارَةً,تارة
فَيُرْسِلَ,فيرسل
قَاصِفًا,قاصفا
ٱلرِّيحِ,الريح
فَيُغْرِقَكُم,فيغرقكم
تَبِيعًا,تبيعا
كَرَّمْنَا,كرمنا
وَحَمَلْنَٰهُمْ,وحملناهم
وَفَضَّلْنَٰهُمْ,وفضلناهم
أُنَاسٍۭ,أناس
بِإِمَٰمِهِمْ,بإمامهم
كِتَٰبَهُۥ,كتابه
بِيَمِينِهِۦ,بيمينه
كِتَٰبَهُمْ,كتابهم
أَعْمَىٰ,أعمى
لَيَفْتِنُونَكَ,ليفتنونك
لِتَفْتَرِىَ,لتفتري
لَّٱتَّخَذُوكَ,لاتخذوك
وَلَوْلَآ,ولولا
ثَبَّتْنَٰكَ,ثبتناك
كِدتَّ,كدت
تَرْكَنُ,تركن
لَّأَذَقْنَٰكَ,لأذقناك
ضِعْفَ,ضعف
وَضِعْفَ,وضعف
ٱلْمَمَاتِ,الممات
لَيَسْتَفِزُّونَكَ,ليستفزونك
لِيُخْرِجُوكَ,ليخرجوك
يَلْبَثُونَ,يلبثون
خِلَٰفَكَ,خلافك
سُنَّةَ,سنة
قَبْلَكَ,قبلك
رُّسُلِنَا,رسلنا
لِسُنَّتِنَا,لسنتنا
أَقِمِ,أقم
لِدُلُوكِ,لدلوك
ٱلشَّمْسِ,الشمس
غَسَقِ,غسق
وَقُرْءَانَ,وقرآن
قُرْءَانَ,قرآن
مَشْهُودًا,مشهودا
فَتَهَجَّدْ,فتهجد
نَافِلَةً,نافلة
يَبْعَثَكَ,يبعثك
مَقَامًا,مقاما
مَّحْمُودًا,محمودا
أَدْخِلْنِى,أدخلني
مُدْخَلَ,مدخل
وَأَخْرِجْنِى,وأخرجني
مُخْرَجَ,مخرج
نَّصِيرًا,نصيرا
وَزَهَقَ,وزهق
ٱلْبَٰطِلُ,الباطل
زَهُوقًا,زهوقا
وَنُنَزِّلُ,وننزل
يَزِيدُ,يزيد
خَسَارًا,خسارا
أَنْعَمْنَا,أنعمنا
ٱلْإِنسَٰنِ,الإنسان
أَعْرَضَ,أعرض
وَنَـَٔا,ونأى
بِجَانِبِهِۦ,بجانبه
مَسَّهُ,مسه
ٱلشَّرُّ,الشر
يَـُٔوسًا,يئوسا
شَاكِلَتِهِۦ,شاكلته
فَرَبُّكُمْ,فربكم
بِمَنْ,بمن
ٱلرُّوحِ,الروح
ٱلرُّوحُ,الروح
أُوتِيتُم,أوتيتم
لَنَذْهَبَنَّ,لنذهبن
لَّئِنِ,لئن
ٱجْتَمَعَتِ,اجتمعت
ٱلْإِنسُ,الإنس
وَٱلْجِنُّ,والجن
بِمِثْلِهِۦ,بمثله
ظَهِيرًا,ظهيرا
مَثَلٍ,مثل
فَأَبَىٰٓ,فأبى
كُفُورًا,كفورا
تَفْجُرَ,تفجر
يَنۢبُوعًا,ينبوعا
وَعِنَبٍ,وعنب
فَتُفَجِّرَ,فتفجر
خِلَٰلَهَا,خلالها
تَفْجِيرًا,تفجيرا
تُسْقِطَ,تسقط
زَعَمْتَ,زعمت
كِسَفًا,كسفا
تَأْتِىَ,تأتي
قَبِيلًا,قبيلا
بَيْتٌ,بيت
زُخْرُفٍ,زخرف
تَرْقَىٰ,ترقى
لِرُقِيِّكَ,لرقيك
نَّقْرَؤُهُۥ,نقرؤه
سُبْحَانَ,سبحان
مَنَعَ,منع
يُؤْمِنُوٓا۟,يؤمنوا
ٱلْهُدَىٰٓ,الهدى
أَبَعَثَ,أبعث
مَلَٰٓئِكَةٌ,ملائكة
مُطْمَئِنِّينَ,مطمئنين
لَنَزَّلْنَا,لنزلنا
ٱلْمُهْتَدِ,المهتد
وَنَحْشُرُهُمْ,ونحشرهم
وُجُوهِهِمْ,وجوههم
عُمْيًا,عميا
وَبُكْمًا,وبكما
وَصُمًّا,وصما
مَّأْوَىٰهُمْ,مأواهم
خَبَتْ,خبت
يَخْلُقَ,يخلق
مِثْلَهُمْ,مثلهم
فَأَبَى,فأبى
تَمْلِكُونَ,تملكون
خَزَآئِنَ,خزائن
لَّأَمْسَكْتُمْ,لأمسكتم
ٱلْإِنفَاقِ,الإنفاق
قَتُورًا,قتورا
تِسْعَ,تسع
فَسْـَٔلْ,فاسأل
لَأَظُنُّكَ,لأظنك
مَسْحُورًا,مسحورا
بَصَآئِرَ,بصائر
مَثْبُورًا,مثبورا
فَأَرَادَ,فأراد
يَسْتَفِزَّهُم,يستفزهم
فَأَغْرَقْنَٰهُ,فأغرقناه
لِبَنِىٓ,لبني
لَفِيفًا,لفيفا
وَبِٱلْحَقِّ,وبالحق
نَزَلَ,نزل
مُبَشِّرًا,مبشرا
وَقُرْءَانًا,وقرآنا
فَرَقْنَٰهُ,فرقناه
لِتَقْرَأَهُۥ,لتقرأه
مُكْثٍ,مكث
وَنَزَّلْنَٰهُ,ونزلناه
تَنزِيلًا,تنزيلا
يَخِرُّونَ,يخرون
لِلْأَذْقَانِ,للأذقان
