Uthmani,Simple
وَأَمَّا,وأما
فَيَقُولُونَ,فيقولون
مَاذَآ,ماذا
أَرَادَ,أراد
بِهَٰذَا,بهذا
يُضِلُّ,يضل
كَثِيرًا,كثيرا
وَيَهْدِى,ويهدي
بِهِۦٓ,به
إِلَّا,إلا
ٱلْفَٰسِقِينَ,الفاسقين
يَنقُضُونَ,ينقضون
عَهْدَ,عهد
مِنۢ,من
بَعْدِ,بعد
مِيثَٰقِهِۦ,ميثاقه
وَيَقْطَعُونَ,ويقطعون
مَآ,ما
أَمَرَ,أمر
يُوصَلَ,يوصل
وَيُفْسِدُونَ,ويفسدون
ٱلْخَٰسِرُونَ,الخاسرون
كَيْفَ,كيف
تَكْفُرُونَ,تكفرون
وَكُنتُمْ,وكنتم
أَمْوَٰتًا,أمواتا
فَأَحْيَٰكُمْ,فأحياكم
ثُمَّ,ثم
يُمِيتُكُمْ,يميتكم
يُحْيِيكُمْ,يحييكم
إِلَيْهِ,إليه
تُرْجَعُونَ,ترجعون
هُوَ,هو
خَلَقَ,خلق
لَكُم,لكم
جَمِيعًا,جميعا
ٱسْتَوَىٰٓ,استوى
إِلَى,إلى
فَسَوَّىٰهُنَّ,فسواهن
سَبْعَ,سبع
سَمَٰوَٰتٍ,سماوات
وَهُوَ,وهو
بِكُلِّ,بكل
عَلِيمٌ,عليم
وَإِذْ,وإذ
قَالَ,قال
رَبُّكَ,ربك
لِلْمَلَٰٓئِكَةِ,للملائكة
إِنِّى,إني
جَاعِلٌ,جاعل
خَلِيفَةً,خليفة
أَتَجْعَلُ,أتجعل
يُفْسِدُ,يفسد
وَيَسْفِكُ,ويسفك
ٱلدِّمَآءَ,الدماء
وَنَحْنُ,ونحن
نُسَبِّحُ,نسبح
بِحَمْدِكَ,بحمدك
وَنُقَدِّسُ,ونقدس
لَكَ,لك
إِنِّىٓ,إني
أَعْلَمُ,أعلم
وَعَلَّمَ,وعلم
ءَادَمَ,آدم
ٱلْأَسْمَآءَ,الأسماء
كُلَّهَا,كلها
عَرَضَهُمْ,عرضهم
عَلَى,على
ٱلْمَلَٰٓئِكَةِ,الملائكة
فَقَالَ,فقال
أَنۢبِـُٔونِى,أنبئوني
بِأَسْمَآءِ,بأسماء
هَٰٓؤُلَآءِ,هؤلاء
سُبْحَٰنَكَ,سبحانك
عِلْمَ,علم
لَنَآ,لنا
عَلَّمْتَنَآ,علمتنا
إِنَّكَ,إنك
أَنتَ,أنت
ٱلْعَلِيمُ,العليم
ٱلْحَكِيمُ,الحكيم
يَٰٓـَٔادَمُ,يا آدم
أَنۢبِئْهُم,أنبئهم
بِأَسْمَآئِهِمْ,بأسمائهم
أَنۢبَأَهُم,أنبأهم
أَلَمْ,ألم
أَقُل,أقل
غَيْبَ,غيب
ٱلسَّمَٰوَٰتِ,السماوات
وَٱلْأَرْضِ,والأرض
وَأَعْلَمُ,وأعلم
تُبْدُونَ,تبدون
تَكْتُمُونَ,تكتمون
قُلْنَا,قلنا
ٱسْجُدُوا۟,اسجدوا
لِءَادَمَ,لآدم
فَسَجَدُوٓا۟,فسجدوا
إِبْلِيسَ,إبليس
أَبَىٰ,أبى
وَٱسْتَكْبَرَ,واستكبر
وَكَانَ,وكان
ٱلْكَٰفِرِينَ,الكافرين
وَقُلْنَا,وقلنا
ٱسْكُنْ,اسكن
وَزَوْجُكَ,وزوجك
ٱلْجَنَّةَ,الجنة
وَكُلَا,وكلا
رَغَدًا,رغدا
حَيْثُ,حيث
شِئْتُمَا,شئتما
تَقْرَبَا,تقربا
هَٰذِهِ,هذه
ٱلشَّجَرَةَ,الشجرة
فَتَكُونَا,فتكونا
ٱلظَّٰلِمِينَ,الظالمين
فَأَزَلَّهُمَا,فأزلهما
ٱلشَّيْطَٰنُ,الشيطان
عَنْهَا,عنها
فَأَخْرَجَهُمَا,فأخرجهما
مِمَّا,مما
كَانَا,كانا
ٱهْبِطُوا۟,اهبطوا
بَعْضُكُمْ,بعضكم
لِبَعْضٍ,لبعض
عَدُوٌّ,عدو
وَلَكُمْ,ولكم
مُسْتَقَرٌّ,مستقر
وَمَتَٰعٌ,ومتاع
حِينٍ,حين
فَتَلَقَّىٰٓ,فتلقى
ءَادَمُ,آدم
رَّبِّهِۦ,ربه
كَلِمَٰتٍ,كلمات
فَتَابَ,فتاب
عَلَيْهِ,عليه
إِنَّهُۥ,إنه
ٱلتَّوَّابُ,التواب
ٱلرَّحِيمُ,الرحيم
فَإِمَّا,فإما
يَأْتِيَنَّكُم,يأتينكم
مِّنِّى,مني
فَمَن,فمن
تَبِعَ,تبع
هُدَاىَ,هداي
خَوْفٌ,خوف
يَحْزَنُونَ,يحزنون
وَكَذَّبُوا۟,وكذبوا
بِـَٔايَٰتِنَآ,بآياتنا
أَصْحَٰبُ,أصحاب
ٱلنَّارِ,النار
يَٰبَنِىٓ,يا بني
إِسْرَٰٓءِيلَ,إسرائيل
ٱذْكُرُوا۟,اذكروا
نِعْمَتِىَ,نعمتي
ٱلَّتِىٓ,التي
أَنْعَمْتُ,أنعمت
عَلَيْكُمْ,عليكم
وَأَوْفُوا۟,وأوفوا
بِعَهْدِىٓ,بعهدي
أُوفِ,أوف
بِعَهْدِكُمْ,بعهدكم
وَإِيَّٰىَ,وإياي
فَٱرْهَبُونِ,فارهبون
وَءَامِنُوا۟,وآمنوا
أَنزَلْتُ,أنزلت
مُصَدِّقًا,مصدقا
لِّمَا,لما
تَكُونُوٓا۟,تكونوا
أَوَّلَ,أول
كَافِرٍۭ,كافر
تَشْتَرُوا۟,تشتروا
بِـَٔايَٰتِى,بآياتي
ثَمَنًا,ثمنا
قَلِيلًا,قليلا
فَٱتَّقُونِ,فاتقون
تَلْبِسُوا۟,تلبسوا
ٱلْحَقَّ,الحق
بِٱلْبَٰطِلِ,بالباطل
وَتَكْتُمُوا۟,وتكتموا
وَأَقِيمُوا۟,وأقيموا
وَءَاتُوا۟,وآتوا
ٱلزَّكَوٰةَ,الزكاة
وَٱرْكَعُوا۟,واركعوا
مَعَ,مع
ٱلرَّٰكِعِينَ,الراكعين
أَتَأْمُرُونَ,أتأمرون
ٱلنَّاسَ,الناس
بِٱلْبِرِّ,بالبر
وَتَنسَوْنَ,وتنسون
أَنفُسَكُمْ,أنفسكم
تَتْلُونَ,تتلون
ٱلْكِتَٰبَ,الكتاب
أَفَلَا,أفلا
تَعْقِلُونَ,تعقلون
وَٱسْتَعِينُوا۟,واستعينوا
بِٱلصَّبْرِ,بالصبر
وَٱلصَّلَوٰةِ,والصلاة
وَإِنَّهَا,وإنها
لَكَبِيرَةٌ,لكبيرة
ٱلْخَٰشِعِينَ,الخاشعين
يَظُنُّونَ,يظنون
أَنَّهُم,أنهم
مُّلَٰقُوا۟,ملاقو
رَبِّهِمْ,ربهم
وَأَنَّهُمْ,وأنهم
رَٰجِعُونَ,راجعون
وَأَنِّى,وأني
فَضَّلْتُكُمْ,فضلتكم
وَٱتَّقُوا۟,واتقوا
يَوْمًا,يوما
تَجْزِى,تجزي
نَفْسٌ,نفس
عَن,عن
نَّفْسٍ,نفس
شَيْـًٔا,شيئا
يُقْبَلُ,يقبل
شَفَٰعَةٌ,شفاعة
يُؤْخَذُ,يؤخذ
عَدْلٌ,عدل
يُنصَرُونَ,ينصرون
نَجَّيْنَٰكُم,نجيناكم
مِّنْ,من
ءَالِ,آل
فِرْعَوْنَ,فرعون
يَسُومُونَكُمْ,يسومونكم
سُوٓءَ,سوء
ٱلْعَذَابِ,العذاب
يُذَبِّحُونَ,يذبحون
أَبْنَآءَكُمْ,أبناءكم
وَيَسْتَحْيُونَ,ويستحيون
نِسَآءَكُمْ,نساءكم
وَفِى,وفي
ذَٰلِكُم,ذلكم
بَلَآءٌ,بلاء
رَّبِّكُمْ,ربكم
فَرَقْنَا,فرقنا
بِكُمُ,بكم
ٱلْبَحْرَ,البحر
فَأَنجَيْنَٰكُمْ,فأنجيناكم
وَأَغْرَقْنَآ,وأغرقنا
ءَالَ,آل
تَنظُرُونَ,تنظرون
وَٰعَدْنَا,واعدنا
مُوسَىٰٓ,موسى
أَرْبَعِينَ,أربعين
لَيْلَةً,ليلة
ٱتَّخَذْتُمُ,اتخذتم
ٱلْعِجْلَ,العجل
بَعْدِهِۦ,بعده
ظَٰلِمُونَ,ظالمون
عَفَوْنَا,عفونا
عَنكُم,عنكم
مِّنۢ,من
تَشْكُرُونَ,تشكرون
ءَاتَيْنَا,آتينا
مُوسَى,موسى
وَٱلْفُرْقَانَ,والفرقان
تَهْتَدُونَ,تهتدون
مُوسَىٰ,موسى
لِقَوْمِهِۦ,لقومه
يَٰقَوْمِ,يا قوم
إِنَّكُمْ,إنكم
ظَلَمْتُمْ,ظلمتم
أَنفُسَكُم,أنفسكم
بِٱتِّخَاذِكُمُ,باتخاذكم
فَتُوبُوٓا۟,فتوبوا
بَارِئِكُمْ,بارئكم
فَٱقْتُلُوٓا۟,فاقتلوا
ذَٰلِكُمْ,ذلكم
خَيْرٌ,خير
عِندَ,عند
قُلْتُمْ,قلتم
يَٰمُوسَىٰ,يا موسى
لَن,لن
نُّؤْمِنَ,نؤمن
حَتَّىٰ,حتى
نَرَى,نرى
جَهْرَةً,جهرة
فَأَخَذَتْكُمُ,فأخذتكم
ٱلصَّٰعِقَةُ,الصاعقة
بَعَثْنَٰكُم,بعثناكم
مَوْتِكُمْ,موتكم
وَظَلَّلْنَا,وظللنا
عَلَيْكُمُ,عليكم
ٱلْغَمَامَ,الغمام
وَأَنزَلْنَا,وأنزلنا
ٱلْمَنَّ,المن
وَٱلسَّلْوَىٰ,والسلوى
كُلُوا۟,كلوا
طَيِّبَٰتِ,طيبات
رَزَقْنَٰكُمْ,رزقناكم
ظَلَمُونَا,ظلمونا
كَانُوٓا۟,كانوا
يَظْلِمُونَ,يظلمون
ٱدْخُلُوا۟,ادخلوا
ٱلْقَرْيَةَ,القرية
فَكُلُوا۟,فكلوا
شِئْتُمْ,شئتم
وَٱدْخُلُوا۟,وادخلوا
ٱلْبَابَ,الباب
سُجَّدًا,سجدا
وَقُولُوا۟,وقولوا
حِطَّةٌ,حطة
نَّغْفِرْ,نغفر
لَكُمْ,لكم
خَطَٰيَٰكُمْ,خطاياكم
